,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-11-24,5.38,5.44,5.36,5.39,5.39,417400
1,2010-11-26,5.37,5.4,5.31,5.35,5.35,111900
2,2010-11-29,5.32,5.49,5.3,5.4,5.4,1053000
3,2010-11-30,5.37,5.55,5.37,5.46,5.46,1777800
4,2010-12-01,5.5,5.53,5.37,5.38,5.38,977300
5,2010-12-02,5.41,5.45,5.35,5.41,5.41,969500
6,2010-12-03,5.4,5.49,5.38,5.47,5.47,848200
7,2010-12-06,5.47,5.49,5.4,5.43,5.43,728400
8,2010-12-07,5.47,5.49,5.44,5.45,5.45,458700
9,2010-12-08,5.47,5.48,5.4,5.46,5.46,232300
10,2010-12-09,5.47,5.62,5.46,5.6,5.6,564000
11,2010-12-10,5.59,5.6,5.51,5.52,5.52,386500
12,2010-12-13,5.53,5.62,5.45,5.58,5.58,392400
13,2010-12-14,5.58,5.62,5.53,5.62,5.62,305200
14,2010-12-15,5.62,5.82,5.59,5.74,5.74,1096900
15,2010-12-16,5.97,5.99,5.8,5.84,5.84,1502300
16,2010-12-17,5.88,5.9,5.76,5.77,5.77,1135500
17,2010-12-20,5.83,5.83,5.74,5.8,5.8,988500
18,2010-12-21,5.85,5.9,5.76,5.84,5.84,695700
19,2010-12-22,5.88,5.89,5.75,5.82,5.82,504000
20,2010-12-23,5.81,5.83,5.77,5.79,5.79,372900
21,2010-12-27,5.8,6.04,5.78,6.0,6.0,821300
22,2010-12-28,6.18,6.43,6.17,6.41,6.41,1652500
23,2010-12-29,6.45,6.73,6.44,6.56,6.56,1418600
24,2010-12-30,6.59,6.6,6.44,6.48,6.48,655300
25,2010-12-31,6.49,6.53,6.36,6.36,6.36,738800
26,2011-01-03,6.43,6.62,6.31,6.52,6.52,1043700
27,2011-01-04,6.55,6.6,6.27,6.43,6.43,751400
28,2011-01-05,6.43,6.54,6.36,6.53,6.53,598600
29,2011-01-06,6.5,6.78,6.47,6.75,6.75,1097900
30,2011-01-07,6.75,6.79,6.61,6.75,6.75,633300
31,2011-01-10,6.71,6.99,6.69,6.96,6.96,842400
32,2011-01-11,7.0,7.25,6.93,7.07,7.07,1003300
33,2011-01-12,7.16,7.17,6.95,7.02,7.02,824700
34,2011-01-13,6.98,7.19,6.97,7.06,7.06,680900
35,2011-01-14,7.08,7.17,7.07,7.12,7.12,612200
36,2011-01-18,7.15,7.24,6.25,6.58,6.58,3938700
37,2011-01-19,5.72,6.01,5.4,5.66,5.66,4109000
38,2011-01-20,5.67,6.07,5.54,5.9,5.9,1983800
39,2011-01-21,5.94,6.05,5.75,5.81,5.81,1661000
40,2011-01-24,5.94,6.29,5.9,6.2,6.2,1876500
41,2011-01-25,6.2,6.38,6.11,6.29,6.29,1675700
42,2011-01-26,6.35,6.39,6.18,6.21,6.21,1594300
43,2011-01-27,6.21,6.28,6.15,6.18,6.18,1001900
44,2011-01-28,6.22,6.33,6.1,6.24,6.24,2126700
45,2011-01-31,8.5,8.6,8.05,8.38,8.38,12173000
46,2011-02-01,8.24,8.55,7.83,8.34,8.34,4118400
47,2011-02-02,8.31,9.44,8.25,9.33,9.33,4036800
48,2011-02-03,9.29,10.16,9.1,10.0,10.0,4066600
49,2011-02-04,10.28,10.4,9.67,9.87,9.87,2516500
50,2011-02-07,9.9,10.25,9.75,9.89,9.89,2127400
51,2011-02-08,9.85,9.86,9.25,9.62,9.62,1999900
52,2011-02-09,9.6,9.6,9.11,9.19,9.19,1656400
53,2011-02-10,9.1,9.47,8.88,9.47,9.47,1255700
54,2011-02-11,9.39,9.62,9.27,9.56,9.56,1077500
55,2011-02-14,9.57,9.64,9.46,9.58,9.58,576800
56,2011-02-15,9.1,9.13,8.69,8.87,8.87,2576200
57,2011-02-16,8.98,9.07,8.85,8.96,8.96,961600
58,2011-02-17,8.97,9.01,8.74,8.89,8.89,794400
59,2011-02-18,8.89,8.91,8.45,8.51,8.51,1111000
60,2011-02-22,8.43,8.69,8.26,8.33,8.33,941000
61,2011-02-23,8.36,8.45,7.99,8.19,8.19,863100
62,2011-02-24,8.17,8.25,8.03,8.14,8.14,879800
63,2011-02-25,8.22,8.75,8.16,8.59,8.59,1196900
64,2011-02-28,8.71,8.9,8.18,8.39,8.39,1177200
65,2011-03-01,8.41,8.55,8.3,8.38,8.38,1211600
66,2011-03-02,8.38,8.66,8.31,8.49,8.49,604300
67,2011-03-03,8.53,8.65,8.42,8.63,8.63,941500
68,2011-03-04,8.46,9.12,8.4,8.7,8.7,1440400
69,2011-03-07,8.7,8.72,8.3,8.62,8.62,964700
70,2011-03-08,8.64,8.8,8.46,8.59,8.59,780100
