,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-11-24,17.26,17.57,17.25,17.469998999999998,15.788581,58724200
1,2015-11-25,17.51,17.57,17.41,17.440001000000002,15.761465,34939000
2,2015-11-27,17.459999,17.5,17.33,17.48,15.797613,22937500
3,2015-11-30,17.48,17.58,17.42,17.43,15.752429999999999,61893700
4,2015-12-01,17.52,17.809998999999998,17.48,17.809998999999998,16.095861,74351800
5,2015-12-02,17.879998999999998,17.889999,17.549999,17.620001000000002,15.968972,76919000
6,2015-12-03,17.68,17.77,17.25,17.299999,15.67896,95810100
7,2015-12-04,17.440001000000002,17.83,17.379998999999998,17.799999,16.132109,103021700
8,2015-12-07,17.790001,17.799999,17.440001000000002,17.540001,15.896472,81633300
9,2015-12-08,17.389999,17.459999,17.129998999999998,17.190001000000002,15.579267999999999,84873500
10,2015-12-09,17.110001,17.379998999999998,16.870001000000002,17.1,15.497697,82418100
11,2015-12-10,17.15,17.41,16.959999,17.200001,15.588332999999999,68395000
12,2015-12-11,16.969998999999998,17.059998999999998,16.639999,16.73,15.162370000000001,91503900
13,2015-12-14,16.76,16.889999,16.5,16.799999,15.225810000000001,121121200
14,2015-12-15,17.02,17.49,16.99,17.42,15.787718,99737200
15,2015-12-16,17.65,17.780001000000002,17.23,17.75,16.086796,171576700
16,2015-12-17,17.799999,17.83,17.299999,17.299999,15.67896,97265700
17,2015-12-18,17.190001000000002,17.27,16.76,16.76,15.189559,136737800
18,2015-12-21,16.98,17.030001000000002,16.77,16.969998999999998,15.379878,65150300
19,2015-12-22,17.049999,17.110001,16.85,17.08,15.479576000000002,56173500
20,2015-12-23,17.16,17.34,17.1,17.34,15.715212,65770700
21,2015-12-24,17.32,17.379998999999998,17.219998999999998,17.27,15.651770999999998,29369400
22,2015-12-28,17.219998999999998,17.23,16.98,17.129998999999998,15.524892000000001,41777500
23,2015-12-29,17.25,17.35,17.16,17.280001000000002,15.660835999999998,45670400
24,2015-12-30,17.200001,17.24,17.040001,17.049999,15.452384,35066400
25,2015-12-31,17.01,17.07,16.83,16.83,15.252998000000002,47153000
26,2016-01-04,16.450001,16.49,16.25,16.43,14.890482999999998,114888000
27,2016-01-05,16.52,16.59,16.23,16.43,14.890482999999998,66670000
28,2016-01-06,16.190001000000002,16.290001,16.02,16.08,14.573277,102760800
29,2016-01-07,15.73,15.9,15.44,15.5,14.047625,116255900
30,2016-01-08,15.94,15.94,15.16,15.2,13.775734,124782400
31,2016-01-11,15.26,15.37,14.94,15.31,13.875426999999998,104611700
32,2016-01-12,15.54,15.58,15.06,15.31,13.875426999999998,100023500
33,2016-01-13,15.47,15.52,14.85,14.9,13.503843,119413000
34,2016-01-14,15.01,15.2,14.65,14.99,13.585414000000002,125920000
35,2016-01-15,14.41,14.66,14.13,14.46,13.105075,172296100
36,2016-01-19,14.69,14.79,14.01,14.24,12.905687,185727400
37,2016-01-20,13.79,14.0,13.27,13.69,12.407225,250537600
38,2016-01-21,13.67,13.84,13.25,13.36,12.108146000000001,188976000
39,2016-01-22,13.65,13.72,13.47,13.56,12.289406,169999800
40,2016-01-25,13.54,13.55,12.94,12.96,11.745626,186419100
41,2016-01-26,13.07,13.35,13.04,13.31,12.06283,124246900
42,2016-01-27,13.2,13.73,13.19,13.36,12.108146000000001,124095800
43,2016-01-28,13.59,13.71,13.26,13.53,12.262217,110996200
44,2016-01-29,13.66,14.15,13.59,14.14,12.815058,159984100
45,2016-02-01,14.05,14.09,13.8,13.96,12.651923,105739400
46,2016-02-02,13.74,13.75,13.13,13.23,11.990326,147101200
47,2016-02-03,13.28,13.29,12.52,13.03,11.809068,257664600
48,2016-02-04,12.89,13.59,12.89,13.25,12.008452,179394400
49,2016-02-05,13.32,13.39,12.89,12.95,11.736564999999999,125842800
50,2016-02-08,12.67,12.7,12.13,12.27,11.120279,221363600
51,2016-02-09,11.99,12.43,11.96,12.2,11.056838,247349000
52,2016-02-10,12.42,12.54,11.91,11.98,10.857453,227530000
53,2016-02-11,11.46,11.55,10.99,11.16,10.114288,375088700
54,2016-02-12,11.48,12.03,11.4,11.95,10.830264999999999,245388400
55,2016-02-16,12.38,12.39,12.11,12.25,11.102153,194306700
56,2016-02-17,12.57,12.69,12.47,12.56,11.383106,221859400
57,2016-02-18,12.71,12.74,12.1,12.24,11.09309,161539400
58,2016-02-19,12.22,12.24,11.98,12.13,10.993399,121045600
59,2016-02-22,12.13,12.54,12.13,12.54,11.364981,88865500
60,2016-02-23,12.47,12.48,12.1,12.16,11.020586,104498700
61,2016-02-24,11.96,12.15,11.65,12.13,10.993399,159552800
62,2016-02-25,12.14,12.33,12.09,12.32,11.165594,103054600
63,2016-02-26,12.49,12.95,12.4,12.7,11.509991000000001,160314400
64,2016-02-29,12.7,12.86,12.51,12.52,11.346853999999999,123661100
65,2016-03-01,12.64,13.21,12.62,13.19,11.954075999999999,153558200
66,2016-03-02,13.2,13.51,13.13,13.41,12.199705,139622500
