,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-11-24,6.9,6.9,6.6,6.6,6.6,1470
1,2015-11-25,6.5,6.9,6.5,6.7,6.7,2050
2,2015-11-27,6.6,6.9,6.6,6.9,6.9,240
3,2015-11-30,6.8,6.9,6.1,6.8,6.8,12490
4,2015-12-01,6.8,6.9,6.2,6.2,6.2,4170
5,2015-12-02,6.3,6.6,6.3,6.3,6.3,160
6,2015-12-03,6.6,6.6,6.1,6.5,6.5,4740
7,2015-12-04,6.5,6.5,6.1,6.3,6.3,3000
8,2015-12-07,6.3,6.3,4.7,5.5,5.5,28090
9,2015-12-08,5.5,6.0,5.0,5.6,5.6,7880
10,2015-12-09,5.4,5.7,5.0,5.5,5.5,12740
11,2015-12-10,5.4,6.5,5.4,6.3,6.3,439600
12,2015-12-11,6.3,6.5,5.3,6.0,6.0,8270
13,2015-12-14,5.5,6.2,5.4,5.9,5.9,4060
14,2015-12-15,6.0,6.0,5.8,5.8,5.8,990
15,2015-12-16,5.9,6.0,5.5,5.9,5.9,7440
16,2015-12-17,5.9,6.0,5.5,5.6,5.6,3910
17,2015-12-18,5.5,6.0,5.2,5.9,5.9,5520
18,2015-12-21,5.6,5.8,5.6,5.7,5.7,390
19,2015-12-22,5.8,5.8,5.3,5.4,5.4,3340
20,2015-12-23,5.5,5.5,5.4,5.5,5.5,2370
21,2015-12-24,5.5,5.5,5.0,5.3,5.3,200280
22,2015-12-28,4.9,5.3,4.7,4.8,4.8,15010
23,2015-12-29,5.0,5.0,4.0,4.6,4.6,32640
24,2015-12-30,4.7,5.0,4.7,4.9,4.9,11910
25,2015-12-31,5.0,5.7,4.7,5.3,5.3,44190
26,2016-01-04,5.4,5.7,5.1,5.3,5.3,24380
27,2016-01-05,5.5,5.7,4.8,4.9,4.9,5510
28,2016-01-06,5.0,5.4,4.8,4.9,4.9,6040
29,2016-01-07,4.9,5.2,4.5,4.9,4.9,9190
30,2016-01-08,5.0,5.1,4.6,4.9,4.9,11570
31,2016-01-11,5.0,5.0,4.5,4.7,4.7,6650
32,2016-01-12,4.8,5.0,4.4,4.7,4.7,8660
33,2016-01-13,4.6,4.6,3.0,3.6,3.6,37680
34,2016-01-14,3.5,3.9,3.1,3.7,3.7,30750
35,2016-01-15,3.7,3.7,3.0,3.4,3.4,19230
36,2016-01-19,3.5,3.9,3.3,3.7,3.7,25530
37,2016-01-20,4.0,4.0,3.5,3.5,3.5,19620
38,2016-01-21,3.5,3.9,3.5,3.9,3.9,2570
39,2016-01-22,3.8,3.9,3.6,3.9,3.9,900
40,2016-01-25,3.9,4.0,3.7,3.7,3.7,5490
41,2016-01-26,3.8,3.8,3.5,3.6,3.6,10910
42,2016-01-27,3.7,3.8,3.6,3.8,3.8,1350
