,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-11-24,8.32,8.41,8.32,8.41,7.458031,44800
1,2015-11-25,8.45,8.52,8.45,8.47,7.511239999999999,52300
2,2015-11-27,8.48,8.55,8.46,8.54,7.573316,18400
3,2015-11-30,8.54,8.56,8.49,8.54,7.573316,18300
4,2015-12-01,8.5,8.5,8.42,8.47,7.511239999999999,53000
5,2015-12-02,8.57,8.59,8.5,8.55,7.582185000000001,43100
6,2015-12-03,8.5,8.55,8.44,8.52,7.55558,51400
7,2015-12-04,8.57,8.68,8.56,8.68,7.697467999999999,33300
8,2015-12-07,8.68,8.72,8.68,8.72,7.732941,55800
9,2015-12-08,8.55,8.59,8.5,8.51,7.546711999999999,46800
10,2015-12-09,8.42,8.48,8.34,8.43,7.475766999999999,32700
11,2015-12-10,8.34,8.38,8.34,8.34,7.395955000000001,43200
12,2015-12-11,8.23,8.23,8.13,8.15,7.227461,72900
13,2015-12-14,8.16,8.19,8.11,8.11,7.1919889999999995,65100
14,2015-12-15,8.21,8.22,8.13,8.17,7.245197999999999,173200
15,2015-12-16,8.2,8.34,8.17,8.31,7.369350999999999,67900
16,2015-12-17,8.42,8.46,8.39,8.4,7.449164,73500
17,2015-12-18,8.59,8.66,8.56,8.58,7.608789,152400
18,2015-12-21,8.54,8.6,8.43,8.49,7.528975,63900
19,2015-12-22,8.55,8.55,8.49,8.51,7.546711999999999,76500
20,2015-12-23,8.49,8.61,8.47,8.61,7.635391,46800
21,2015-12-24,8.53,8.66,8.48,8.64,7.661997,30200
22,2015-12-28,8.58,8.64,8.56,8.63,7.653128,23600
23,2015-12-29,8.81,8.89,8.79,8.89,7.883698,29700
24,2015-12-30,8.83,8.85,8.79,8.81,7.812755,51800
25,2015-12-31,8.89,8.89,8.7,8.75,7.759545,30000
26,2016-01-04,8.46,8.46,8.35,8.41,7.458031,48000
27,2016-01-05,8.31,8.35,8.25,8.32,7.3782190000000005,65800
28,2016-01-06,8.14,8.25,8.14,8.22,7.2895389999999995,45500
29,2016-01-07,8.04,8.11,8.03,8.09,7.174253,50200
30,2016-01-08,8.15,8.16,8.0,8.04,7.129914,41000
31,2016-01-11,8.13,8.15,8.03,8.12,7.200858,68700
32,2016-01-12,8.22,8.3,8.2,8.3,7.360483,74300
33,2016-01-13,8.29,8.3,8.12,8.14,7.218594,56000
34,2016-01-14,8.21,8.33,8.15,8.32,7.3782190000000005,1037900
35,2016-01-15,8.12,8.18,8.08,8.12,7.200858,116900
36,2016-01-19,8.18,8.19,8.09,8.17,7.245197999999999,148000
37,2016-01-20,7.97,8.01,7.85,7.97,7.067837,124200
38,2016-01-21,7.94,8.06,7.88,8.03,7.121045,90000
39,2016-01-22,8.13,8.2,8.12,8.17,7.245197999999999,103200
40,2016-01-25,8.28,8.31,8.23,8.23,7.298406,84800
41,2016-01-26,8.2,8.29,8.2,8.29,7.351614,60000
42,2016-01-27,8.46,8.57,8.43,8.47,7.511239999999999,73400
43,2016-01-28,8.44,8.44,8.31,8.37,7.422559,69800
44,2016-01-29,8.41,8.5,8.37,8.49,7.528975,63900
45,2016-02-01,8.48,8.59,8.46,8.55,7.582185000000001,36200
46,2016-02-02,8.54,8.54,8.45,8.46,7.502371000000001,77200
47,2016-02-03,8.67,8.81,8.63,8.81,7.812755,2053300
48,2016-02-04,8.68,8.71,8.59,8.64,7.661997,77600
49,2016-02-05,8.55,8.55,8.35,8.4,7.449164,70000
50,2016-02-08,8.13,8.14,8.04,8.14,7.218594,86000
51,2016-02-09,7.98,8.08,7.95,8.02,7.112178,96400
52,2016-02-10,8.24,8.26,8.11,8.12,7.200858,40200
53,2016-02-11,7.98,8.0,7.87,7.96,7.058969,36800
54,2016-02-12,7.95,7.98,7.91,7.97,7.067837,82000
55,2016-02-16,8.05,8.07,7.97,8.07,7.156517,63300
56,2016-02-17,8.03,8.32,7.98,8.24,7.3072740000000005,118800
57,2016-02-18,8.41,8.41,8.23,8.26,7.325010000000001,122800
58,2016-02-19,8.15,8.23,8.14,8.19,7.262934,33900
59,2016-02-22,8.31,8.39,8.31,8.38,7.431427,198900
60,2016-02-23,8.96,8.98,8.55,8.65,7.670864999999999,168000
61,2016-02-24,8.3,8.46,8.27,8.44,7.484635000000001,39400
62,2016-02-25,8.47,8.51,8.42,8.47,7.511239999999999,251600
63,2016-02-26,8.49,8.52,8.45,8.49,7.528975,93800
64,2016-02-29,8.2,8.26,8.15,8.16,7.236330000000001,49400
65,2016-03-01,8.19,8.34,8.19,8.33,7.387086999999999,40800
66,2016-03-02,8.32,8.46,8.31,8.46,7.502371000000001,53600
67,2016-03-03,8.44,8.57,8.42,8.52,7.55558,33700
68,2016-03-04,8.48,8.52,8.34,8.34,7.395955000000001,28600
69,2016-03-07,8.19,8.26,8.16,8.25,7.316142999999999,51900
70,2016-03-08,8.19,8.21,8.14,8.16,7.236330000000001,97400
71,2016-03-09,8.25,8.25,8.16,8.19,7.262934,39000
72,2016-03-10,8.25,8.33,8.19,8.3,7.360483,46200
73,2016-03-11,8.37,8.42,8.35,8.39,7.440296000000001,37600
74,2016-03-14,8.35,8.41,8.33,8.39,7.440296000000001,29300
75,2016-03-15,8.33,8.39,8.31,8.37,7.422559,96000
76,2016-03-16,8.4,8.48,8.35,8.44,7.484635000000001,93500
77,2016-03-17,8.45,8.45,8.35,8.36,7.413691,45900
78,2016-03-18,8.29,8.31,8.25,8.26,7.325010000000001,50600
79,2016-03-21,8.16,8.16,8.07,8.12,7.200858,22400
80,2016-03-22,8.18,8.18,8.13,8.13,7.209726,29800
81,2016-03-23,8.14,8.18,8.12,8.14,7.218594,38500
82,2016-03-24,8.21,8.27,8.18,8.23,7.298406,71100
83,2016-03-28,8.17,8.39,8.17,8.25,7.316142999999999,73300
84,2016-03-29,8.23,8.35,8.21,8.35,7.4048229999999995,74300
85,2016-03-30,8.39,8.43,8.37,8.39,7.440296000000001,40900
86,2016-03-31,8.48,8.51,8.43,8.47,7.511239999999999,39600
