,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-11-24,11.69,11.69,11.25,11.47,8.98298,80300
1,2010-11-26,11.35,11.56,11.26,11.52,9.022136,2600
2,2010-11-29,11.38,11.48,11.21,11.45,8.967314,64700
3,2010-11-30,11.25,11.45,11.22,11.37,8.904662,372200
4,2010-12-01,11.49,11.95,11.39,11.82,9.257088000000001,35300
5,2010-12-02,11.86,11.95,11.77,11.94,9.351066000000001,11300
6,2010-12-03,11.86,12.04,11.71,11.99,9.390231,9900
7,2010-12-06,11.92,12.52,11.92,12.38,9.695669,17800
8,2010-12-07,12.24,12.46,11.86,12.18,9.539031,39300
9,2010-12-08,12.27,12.27,11.96,12.18,9.539031,37900
10,2010-12-09,12.2,12.37,12.05,12.32,9.648672,26800
11,2010-12-10,12.31,12.31,12.11,12.24,9.58602,19600
12,2010-12-13,12.46,13.11,12.19,12.99,10.1734,75200
13,2010-12-14,13.08,13.08,12.67,12.86,10.071587,41300
14,2010-12-15,12.61,13.12,12.61,13.03,10.204725999999999,48900
15,2010-12-16,13.12,13.77,12.92,13.45,10.533658,68500
16,2010-12-17,13.65,13.65,13.21,13.52,10.588482,118600
17,2010-12-20,13.5,13.7,13.42,13.65,10.69029,71600
18,2010-12-21,13.75,14.34,13.71,14.3,11.199352000000001,41600
19,2010-12-22,14.29,14.61,14.27,14.39,11.269839,43300
20,2010-12-23,14.34,14.45,14.17,14.28,11.183692,24400
21,2010-12-27,14.19,14.5,14.19,14.35,11.238512,24800
22,2010-12-28,14.31,14.75,14.27,14.73,11.536118,20800
23,2010-12-29,14.71,14.71,14.37,14.45,11.316832000000002,10700
24,2010-12-30,14.04,14.49,14.04,14.34,11.230683,22900
25,2010-12-31,14.35,14.35,14.07,14.13,11.066216,14400
26,2011-01-03,14.14,14.47,14.06,14.39,11.269839,19900
27,2011-01-04,14.48,14.48,13.9,13.9,10.886086,32400
28,2011-01-05,13.85,14.35,13.59,14.33,11.222852,108000
29,2011-01-06,14.27,14.41,14.15,14.25,11.160194,21800
30,2011-01-07,14.22,14.23,13.87,14.15,11.081878999999999,63300
31,2011-01-10,14.11,14.13,13.96,14.04,10.995728999999999,15400
32,2011-01-11,14.09,14.18,13.72,13.75,10.768609,42000
33,2011-01-12,13.85,13.85,13.64,13.77,10.784277000000001,27800
34,2011-01-13,13.67,13.67,13.36,13.44,10.525826,16300
35,2011-01-14,13.44,13.62,13.25,13.59,10.643305,22900
36,2011-01-18,13.49,13.74,13.01,13.6,10.651133999999999,89100
37,2011-01-19,13.51,13.6,12.78,12.9,10.102912,75400
38,2011-01-20,12.85,13.14,12.75,13.08,10.243886999999999,85000
39,2011-01-21,13.18,13.37,13.12,13.27,10.392686999999999,65800
40,2011-01-24,13.23,13.57,13.23,13.5,10.572814,45200
41,2011-01-25,13.52,14.1,13.52,14.08,11.02706,33800
42,2011-01-26,14.19,14.19,13.9,14.05,11.003559,25800
43,2011-01-27,13.95,14.11,13.89,14.05,11.003559,41400
44,2011-01-28,14.07,14.07,13.79,13.99,10.956572,75200
45,2011-01-31,14.02,14.02,13.41,13.41,10.502334,32500
46,2011-02-01,13.6,13.62,13.35,13.46,10.541489,20000
47,2011-02-02,13.36,13.57,13.23,13.25,10.377025999999999,8200
48,2011-02-03,13.26,13.26,12.96,13.04,10.21256,17600
49,2011-02-04,13.03,13.07,12.85,12.88,10.087253,20000
