,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-11-24,1.92,1.94,1.9,1.94,1.94,6100
1,2010-11-26,1.98,2.26,1.98,2.06,2.06,92300
2,2010-11-29,2.12,2.17,2.09,2.17,2.17,90100
3,2010-11-30,2.12,2.27,2.11,2.27,2.27,102800
4,2010-12-01,2.26,2.27,2.15,2.18,2.18,42700
5,2010-12-02,2.23,2.29,2.2,2.27,2.27,27800
6,2010-12-03,2.28,2.3,2.25,2.3,2.3,11200
7,2010-12-06,2.3,2.44,2.26,2.42,2.42,42800
8,2010-12-07,2.55,3.1,2.3,2.46,2.46,117200
9,2010-12-08,2.46,2.5,2.31,2.31,2.31,28300
10,2010-12-09,2.31,2.35,2.11,2.17,2.17,28700
11,2010-12-10,2.17,2.33,2.17,2.31,2.31,29000
12,2010-12-13,2.34,2.34,2.29,2.31,2.31,27300
13,2010-12-14,2.29,2.31,2.16,2.16,2.16,26400
14,2010-12-15,2.16,2.3,2.16,2.25,2.25,41700
15,2010-12-16,2.25,2.28,2.23,2.26,2.26,7200
16,2010-12-17,2.22,2.27,2.19,2.19,2.19,25100
17,2010-12-20,2.28,2.29,2.2,2.26,2.26,10300
18,2010-12-21,2.25,2.25,2.19,2.21,2.21,21500
19,2010-12-22,2.2,2.33,2.18,2.18,2.18,15100
20,2010-12-23,2.18,2.21,2.16,2.21,2.21,11700
21,2010-12-27,2.25,2.25,2.2,2.25,2.25,11400
22,2010-12-28,2.29,2.4,2.25,2.25,2.25,18200
23,2010-12-29,2.33,2.33,2.23,2.28,2.28,8900
24,2010-12-30,2.22,2.42,2.22,2.41,2.41,58200
25,2010-12-31,2.45,2.5,2.38,2.48,2.48,29200
26,2011-01-03,2.5,2.8,2.42,2.79,2.79,73500
27,2011-01-04,2.67,2.75,2.45,2.5,2.5,71200
28,2011-01-05,2.48,2.49,2.29,2.35,2.35,85000
29,2011-01-06,2.36,2.45,2.35,2.42,2.42,12200
30,2011-01-07,2.55,2.55,2.37,2.41,2.41,7000
31,2011-01-10,2.35,2.44,2.34,2.35,2.35,12800
32,2011-01-11,2.3,2.43,2.3,2.33,2.33,18800
33,2011-01-12,2.31,2.43,2.31,2.39,2.39,20600
34,2011-01-13,2.31,2.43,2.31,2.36,2.36,21600
35,2011-01-14,2.31,2.38,2.31,2.32,2.32,17500
36,2011-01-18,2.27,2.33,2.27,2.3,2.3,36200
37,2011-01-19,2.3,2.39,2.3,2.34,2.34,11600
38,2011-01-20,2.3,2.36,2.28,2.35,2.35,18000
39,2011-01-21,2.39,2.39,2.34,2.37,2.37,2800
40,2011-01-24,2.3,2.33,2.29,2.3,2.3,15300
41,2011-01-26,2.22,2.3,2.22,2.28,2.28,13400
42,2011-01-27,2.34,2.34,2.01,2.12,2.12,46000
43,2011-01-28,2.1,2.13,2.04,2.06,2.06,72800
44,2011-01-31,2.05,2.14,2.02,2.04,2.04,31700
45,2011-02-01,2.02,2.21,2.02,2.16,2.16,10100
46,2011-02-02,2.22,2.28,2.19,2.26,2.26,7600
47,2011-02-03,2.3,2.3,2.2,2.25,2.25,10000
48,2011-02-04,2.3,2.31,2.26,2.31,2.31,18900
49,2011-02-07,2.34,2.35,2.3,2.32,2.32,11400
50,2011-02-08,2.25,2.41,2.25,2.41,2.41,58200
51,2011-02-09,2.36,2.51,2.36,2.51,2.51,34500
52,2011-02-10,2.4,2.47,2.33,2.43,2.43,34000
53,2011-02-11,2.35,2.53,2.35,2.53,2.53,88400
54,2011-02-14,2.6,2.6,2.47,2.49,2.49,13000
55,2011-02-15,2.45,2.68,2.45,2.67,2.67,80500
56,2011-02-16,2.65,2.67,2.54,2.54,2.54,32500
57,2011-02-17,2.51,2.63,2.51,2.58,2.58,13000
58,2011-02-18,2.63,2.68,2.6,2.63,2.63,46200
59,2011-02-22,2.53,2.62,2.45,2.45,2.45,36000
60,2011-02-23,2.45,2.46,2.36,2.38,2.38,46300
61,2011-02-24,2.32,2.43,2.32,2.43,2.43,19300
62,2011-02-25,2.34,2.54,2.34,2.5,2.5,33400
63,2011-02-28,2.54,2.54,2.47,2.49,2.49,15500
64,2011-03-01,2.43,2.51,2.43,2.43,2.43,25200
65,2011-03-02,2.43,2.47,2.41,2.41,2.41,25800
66,2011-03-03,2.37,2.47,2.37,2.46,2.46,14700
67,2011-03-04,2.42,2.47,2.41,2.42,2.42,34900
68,2011-03-07,2.38,2.49,2.36,2.47,2.47,54900
69,2011-03-08,2.49,2.55,2.44,2.49,2.49,70500
70,2011-03-09,2.46,2.52,2.46,2.49,2.49,29800
71,2011-03-10,2.39,2.47,2.3,2.3,2.3,20400
72,2011-03-11,2.3,2.39,2.29,2.32,2.32,20500
73,2011-03-14,2.16,2.33,2.15,2.3,2.3,33500
74,2011-03-15,2.1,2.15,2.1,2.14,2.14,33800
75,2011-03-16,2.08,2.26,2.08,2.14,2.14,25800
76,2011-03-17,2.16,2.23,2.16,2.19,2.19,3400
77,2011-03-18,2.23,2.24,2.2,2.23,2.23,32700
78,2011-03-21,2.31,2.36,2.27,2.27,2.27,22300
79,2011-03-22,2.32,2.32,2.21,2.22,2.22,13600
80,2011-03-23,2.22,2.27,2.19,2.25,2.25,27600
81,2011-03-24,2.22,2.31,2.22,2.27,2.27,3700
82,2011-03-25,2.18,2.29,2.16,2.24,2.24,27600
83,2011-03-28,2.16,2.29,2.15,2.25,2.25,13500
84,2011-03-29,2.2,2.3,2.2,2.29,2.29,22400
85,2011-03-30,2.3,2.34,2.27,2.3,2.3,31600
86,2011-03-31,2.32,2.32,2.2,2.24,2.24,38800
87,2011-04-01,2.23,2.26,2.15,2.2,2.2,26300
88,2011-04-04,2.2,2.3,2.13,2.3,2.3,23900
89,2011-04-05,2.11,2.31,2.11,2.29,2.29,13300
90,2011-04-06,2.23,2.54,2.23,2.54,2.54,100700
91,2011-04-07,2.56,2.56,2.41,2.5,2.5,69800
92,2011-04-08,2.5,2.69,2.47,2.69,2.69,101600
93,2011-04-11,2.72,2.72,2.44,2.5,2.5,72700
94,2011-04-12,2.45,2.45,2.29,2.4,2.4,54800
95,2011-04-13,2.4,2.53,2.29,2.52,2.52,73700
96,2011-04-14,2.6,2.7,2.58,2.66,2.66,94300
97,2011-04-15,2.7,2.75,2.6,2.69,2.69,167900
98,2011-04-18,2.75,2.75,2.53,2.61,2.61,80900
99,2011-04-19,2.62,2.66,2.47,2.58,2.58,139300
100,2011-04-20,2.8,2.94,2.64,2.93,2.93,302500
101,2011-04-21,2.96,3.78,2.95,3.68,3.68,2072600
102,2011-04-25,3.82,3.95,3.5,3.85,3.85,993700
103,2011-04-26,3.85,3.85,3.44,3.56,3.56,394400
104,2011-04-27,3.47,3.56,3.23,3.4,3.4,265600
105,2011-04-28,3.52,3.54,3.34,3.45,3.45,205500
106,2011-04-29,3.45,3.45,3.25,3.39,3.39,143000
107,2011-05-02,3.54,3.54,3.25,3.31,3.31,123100
108,2011-05-03,3.41,3.41,2.99,3.09,3.09,216900
109,2011-05-04,3.14,3.17,3.04,3.13,3.13,171000
110,2011-05-05,3.06,3.14,3.0,3.05,3.05,54500
111,2011-05-06,3.1,3.1,2.88,2.96,2.96,83000
112,2011-05-09,2.96,2.96,2.61,2.91,2.91,272600
113,2011-05-10,2.95,3.02,2.85,2.96,2.96,101300
114,2011-05-11,2.92,2.99,2.87,2.9,2.9,73000
115,2011-05-12,2.88,3.14,2.84,3.08,3.08,78900
116,2011-05-13,3.06,3.17,3.0,3.02,3.02,120100
117,2011-05-16,2.98,3.14,2.98,3.1,3.1,35000
118,2011-05-17,3.05,3.18,3.05,3.15,3.15,56300
119,2011-05-18,3.17,3.17,3.02,3.09,3.09,39900
120,2011-05-19,3.09,3.21,3.09,3.17,3.17,112100
121,2011-05-20,3.19,3.4,3.15,3.3,3.3,217800
122,2011-05-23,3.4,3.44,3.27,3.41,3.41,110600
123,2011-05-24,3.4,3.4,3.29,3.3,3.3,82000
124,2011-05-25,3.31,3.58,3.31,3.57,3.57,261400
125,2011-05-26,3.59,3.88,3.57,3.8,3.8,349500
126,2011-05-27,3.84,4.23,3.74,4.05,4.05,753600
127,2011-05-31,4.17,4.27,3.91,3.96,3.96,327000
128,2011-06-01,3.99,3.99,3.52,3.65,3.65,318600
129,2011-06-02,3.71,3.75,3.64,3.68,3.68,127400
130,2011-06-03,3.58,3.68,3.51,3.68,3.68,70100
131,2011-06-06,3.92,4.0,3.61,3.64,3.64,147100
132,2011-06-07,3.68,3.73,3.6,3.63,3.63,51000
133,2011-06-08,3.58,3.65,3.3,3.45,3.45,258000
134,2011-06-09,3.38,3.71,3.02,3.6,3.6,623500
135,2011-06-10,3.52,3.7,3.29,3.41,3.41,378400
136,2011-06-13,3.39,3.52,3.27,3.45,3.45,206100
137,2011-06-14,3.49,3.76,3.39,3.66,3.66,286500
138,2011-06-15,3.6,3.69,3.54,3.64,3.64,123800
139,2011-06-16,3.57,3.62,3.51,3.53,3.53,38800
140,2011-06-17,3.53,3.84,3.53,3.62,3.62,60200
141,2011-06-20,3.69,3.73,3.6,3.63,3.63,24100
142,2011-06-21,3.69,3.69,3.5,3.51,3.51,66600
143,2011-06-22,3.5,3.61,3.45,3.53,3.53,101700
144,2011-06-23,3.5,3.55,3.44,3.51,3.51,71800
145,2011-06-24,3.57,3.57,3.35,3.45,3.45,67300
146,2011-06-27,3.44,3.51,3.28,3.39,3.39,73600
147,2011-06-28,3.4,3.6,3.39,3.59,3.59,138500
