,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-11-24,1.9,1.95,1.88,1.94,1.94,1451800
1,2015-11-25,1.93,2.15,1.93,2.07,2.07,4808800
2,2015-11-27,2.1,2.14,2.06,2.12,2.12,1422300
3,2015-11-30,2.15,2.23,2.12,2.2,2.2,2580900
4,2015-12-01,2.22,2.23,2.14,2.19,2.19,1693100
5,2015-12-02,2.17,2.19,2.06,2.11,2.11,2141800
6,2015-12-03,2.11,2.15,2.05,2.09,2.09,1442600
7,2015-12-04,2.11,2.12,2.02,2.08,2.08,1403200
8,2015-12-07,2.06,2.08,1.98,2.01,2.01,1395000
9,2015-12-08,1.95,2.01,1.92,1.94,1.94,1364900
10,2015-12-09,1.95,2.03,1.95,1.99,1.99,997500
11,2015-12-10,1.98,2.07,1.98,2.07,2.07,1189300
12,2015-12-11,2.03,2.05,1.98,2.0,2.0,1423800
13,2015-12-14,2.0,2.03,1.95,1.96,1.96,1258800
14,2015-12-15,1.97,2.16,1.97,2.12,2.12,2154400
15,2015-12-16,2.29,2.35,2.15,2.24,2.24,5639700
16,2015-12-17,2.27,2.3,2.15,2.18,2.18,2278900
17,2015-12-18,2.23,2.3,2.2,2.22,2.22,3707800
18,2015-12-21,2.22,2.27,2.2,2.24,2.24,1897600
19,2015-12-22,2.2,2.25,2.18,2.25,2.25,1356600
20,2015-12-23,2.25,2.34,2.24,2.27,2.27,2686400
21,2015-12-24,2.27,2.35,2.27,2.3,2.3,1424700
22,2015-12-28,2.28,2.34,2.19,2.24,2.24,1836700
23,2015-12-29,2.24,2.29,2.22,2.24,2.24,1115900
24,2015-12-30,2.23,2.29,2.14,2.16,2.16,2120500
25,2015-12-31,2.14,2.15,2.05,2.11,2.11,2156400
26,2016-01-04,2.0,2.1,1.96,2.1,2.1,2373300
27,2016-01-05,2.11,2.11,2.03,2.06,2.06,957100
28,2016-01-06,2.0,2.05,1.99,2.03,2.03,1672700
29,2016-01-07,1.96,2.01,1.9,1.9,1.9,2754300
30,2016-01-08,1.94,2.02,1.9,1.92,1.92,1611400
31,2016-01-11,1.92,1.96,1.78,1.85,1.85,2143400
32,2016-01-12,1.86,1.92,1.75,1.81,1.81,1813700
33,2016-01-13,1.87,1.9,1.72,1.75,1.75,2078300
34,2016-01-14,1.75,1.77,1.61,1.7,1.7,3773500
35,2016-01-15,1.65,1.67,1.56,1.66,1.66,2716800
36,2016-01-19,1.67,1.72,1.5,1.53,1.53,2856700
37,2016-01-20,1.47,1.59,1.3,1.57,1.57,4412600
38,2016-01-21,1.6,1.75,1.53,1.72,1.72,3233200
39,2016-01-22,1.79,1.82,1.72,1.82,1.82,2751100
40,2016-01-25,1.79,1.86,1.73,1.75,1.75,2010600
41,2016-01-26,1.77,1.82,1.71,1.78,1.78,1787000
42,2016-01-27,1.83,1.88,1.76,1.85,1.85,2298200
43,2016-01-28,1.92,1.94,1.71,1.77,1.77,3598100
44,2016-01-29,1.81,1.87,1.78,1.87,1.87,1968100
45,2016-02-01,1.9,1.9,1.76,1.79,1.79,1474500
46,2016-02-02,1.73,1.74,1.66,1.67,1.67,1649300
47,2016-02-03,1.7,1.71,1.6,1.68,1.68,1274700
48,2016-02-04,1.7,1.75,1.66,1.72,1.72,1105800
49,2016-02-05,1.7,1.74,1.67,1.68,1.68,781700
50,2016-02-08,1.65,1.68,1.6,1.61,1.61,1123300
51,2016-02-09,1.58,1.63,1.55,1.56,1.56,1596800
52,2016-02-10,1.56,1.67,1.55,1.62,1.62,1093000
53,2016-02-11,1.57,1.62,1.55,1.61,1.61,1097400
54,2016-02-12,1.64,1.69,1.6,1.67,1.67,1567900
55,2016-02-16,1.7,1.75,1.7,1.74,1.74,1281000
56,2016-02-17,1.75,1.89,1.75,1.83,1.83,3766100
57,2016-02-18,1.85,1.87,1.77,1.79,1.79,1157600
58,2016-02-19,1.8,1.81,1.73,1.75,1.75,853500
59,2016-02-22,1.8,1.88,1.77,1.84,1.84,1977500
60,2016-02-23,1.79,1.87,1.79,1.82,1.82,794500
61,2016-02-24,1.83,1.86,1.76,1.86,1.86,1404100
62,2016-02-25,1.86,1.94,1.83,1.92,1.92,1688000
63,2016-02-26,1.92,2.07,1.92,2.02,2.02,3145000
64,2016-02-29,2.05,2.13,2.03,2.08,2.08,1820900
65,2016-03-01,2.1,2.14,2.05,2.07,2.07,1167000
66,2016-03-02,2.07,2.13,2.05,2.13,2.13,1298800
67,2016-03-03,2.13,2.23,2.12,2.22,2.22,2507500
68,2016-03-04,2.25,2.25,2.08,2.11,2.11,2855600
69,2016-03-07,2.02,2.06,1.9,1.98,1.98,4740200
70,2016-03-08,1.95,2.02,1.91,1.95,1.95,1720000
71,2016-03-09,1.98,1.99,1.9,1.9,1.9,2131100
72,2016-03-10,2.09,2.2,2.01,2.04,2.04,7387800
73,2016-03-11,2.1,2.11,2.0,2.04,2.04,2399200
74,2016-03-14,2.03,2.03,1.96,2.0,2.0,1631800
75,2016-03-15,1.99,2.0,1.92,1.93,1.93,1522100
76,2016-03-16,1.94,2.02,1.93,2.01,2.01,1543600
77,2016-03-17,2.01,2.09,2.01,2.04,2.04,2322200
78,2016-03-18,2.09,2.09,2.04,2.08,2.08,1752300
79,2016-03-21,2.05,2.11,2.05,2.07,2.07,1081900
80,2016-03-22,2.07,2.11,2.04,2.08,2.08,1087900
81,2016-03-23,2.06,2.08,1.94,1.95,1.95,3198400
82,2016-03-24,1.94,2.03,1.92,2.02,2.02,1515500
83,2016-03-28,2.02,2.03,1.95,2.01,2.01,969300
84,2016-03-29,2.0,2.14,1.96,2.08,2.08,5340700
85,2016-03-30,2.08,2.11,2.03,2.07,2.07,1795400
86,2016-03-31,2.08,2.1,2.03,2.05,2.05,935800
87,2016-04-01,2.05,2.06,2.0,2.04,2.04,788900
88,2016-04-04,2.02,2.07,2.0,2.03,2.03,700400
89,2016-04-05,2.0,2.04,1.98,2.0,2.0,1140800
90,2016-04-06,2.0,2.05,1.99,2.03,2.03,1037400
91,2016-04-07,2.01,2.06,1.99,2.01,2.01,946700
92,2016-04-08,2.02,2.05,1.98,2.0,2.0,1295000
93,2016-04-11,2.0,2.04,1.99,2.01,2.01,629900
94,2016-04-12,2.0,2.08,1.99,2.05,2.05,1657000
95,2016-04-13,2.04,2.09,2.02,2.05,2.05,1841400
96,2016-04-14,2.08,2.14,2.06,2.12,2.12,2086600
97,2016-04-15,2.13,2.19,2.09,2.11,2.11,2037900
98,2016-04-18,2.1,2.16,2.07,2.12,2.12,1346400
99,2016-04-19,2.11,2.14,2.08,2.1,2.1,850100
100,2016-04-20,2.11,2.17,2.08,2.13,2.13,1386600
101,2016-04-21,2.13,2.17,2.12,2.15,2.15,1195300
102,2016-04-22,2.15,2.25,2.15,2.22,2.22,2383400
103,2016-04-25,2.24,2.28,2.13,2.15,2.15,2582700
104,2016-04-26,2.15,2.22,2.11,2.14,2.14,1120500
105,2016-04-27,2.13,2.16,2.08,2.13,2.13,1226300
106,2016-04-28,2.11,2.12,2.04,2.05,2.05,1847800
107,2016-04-29,2.05,2.09,2.01,2.06,2.06,1599100
108,2016-05-02,2.04,2.08,2.01,2.05,2.05,896900
109,2016-05-03,2.04,2.04,1.99,2.01,2.01,1554400
110,2016-05-04,2.01,2.03,1.94,2.01,2.01,1752500
111,2016-05-05,2.02,2.02,1.92,1.93,1.93,1346900
112,2016-05-06,1.98,1.99,1.9,1.92,1.92,1610700
