,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-11-24,13.44,13.58,13.3,13.44,13.44,7114
1,2015-11-25,13.65,13.65,13.09,13.58,13.58,14971
2,2015-11-27,13.51,13.93,13.51,13.65,13.65,1186
3,2015-11-30,13.51,14.0,13.37,14.0,14.0,19086
4,2015-12-01,14.0,14.0,13.3,13.79,13.79,9257
5,2015-12-02,13.65,13.65,13.3,13.37,13.37,9314
6,2015-12-03,13.44,13.65,13.3,13.51,13.51,5871
7,2015-12-04,13.51,13.58,13.3,13.3,13.3,9629
8,2015-12-07,13.3,13.58,13.16,13.44,13.44,6200
9,2015-12-08,13.23,13.51,12.81,13.44,13.44,9843
10,2015-12-09,13.23,13.44,13.02,13.16,13.16,8671
11,2015-12-10,13.16,13.3,13.02,13.16,13.16,7029
12,2015-12-11,12.95,13.3,12.88,13.02,13.02,12486
13,2015-12-14,13.02,13.16,12.67,12.88,12.88,17129
14,2015-12-15,12.95,13.23,12.74,13.02,13.02,9400
15,2015-12-16,13.02,13.44,13.02,13.3,13.3,18543
16,2015-12-17,13.09,13.3,12.81,13.09,13.09,13700
17,2015-12-18,12.95,13.37,12.88,12.88,12.88,17929
18,2015-12-21,13.02,13.44,12.81,13.3,13.3,17343
19,2015-12-22,13.37,13.44,12.81,12.81,12.81,4557
20,2015-12-23,12.67,13.3,12.6,12.81,12.81,156543
21,2015-12-24,12.67,13.16,12.6,12.6,12.6,3357
22,2015-12-28,12.6,13.09,12.6,12.81,12.81,5414
23,2015-12-29,12.74,13.23,12.39,12.6,12.6,21971
24,2015-12-30,12.53,12.6,12.32,12.39,12.39,16857
25,2015-12-31,12.32,12.6,12.04,12.25,12.25,17986
26,2016-01-04,12.04,12.6,11.9,12.25,12.25,12714
27,2016-01-05,12.32,12.6,12.04,12.53,12.53,4343
28,2016-01-06,12.39,12.74,12.04,12.39,12.39,4429
29,2016-01-07,12.25,12.46,11.9,12.25,12.25,12500
30,2016-01-08,12.25,12.32,12.04,12.25,12.25,17614
31,2016-01-11,12.25,12.39,11.41,11.69,11.69,17771
32,2016-01-12,11.83,12.11,11.62,11.69,11.69,9257
33,2016-01-13,11.76,11.97,11.41,11.62,11.62,6700
34,2016-01-14,11.55,11.76,11.55,11.62,11.62,4729
35,2016-01-15,11.41,11.62,10.92,11.62,11.62,9571
36,2016-01-19,11.69,11.9,11.41,11.48,11.48,9114
37,2016-01-20,11.41,11.97,10.99,11.97,11.97,14557
38,2016-01-21,11.55,11.76,10.85,11.27,11.27,21257
39,2016-01-22,11.34,11.62,10.99,11.2,11.2,8214
40,2016-01-25,11.34,11.97,10.99,11.27,11.27,9543
41,2016-01-26,11.34,11.97,11.06,11.48,11.48,3786
42,2016-01-27,11.55,11.97,11.48,11.62,11.62,4743
43,2016-01-28,11.69,11.83,11.27,11.27,11.27,871
44,2016-01-29,11.34,11.69,11.2,11.34,11.34,4614
45,2016-02-01,11.2,11.97,11.2,11.9,11.9,1971
46,2016-02-02,11.9,12.25,11.55,11.76,11.76,43786
47,2016-02-03,11.62,12.18,11.13,11.27,11.27,3500
48,2016-02-04,11.2,12.11,11.2,11.69,11.69,2971
49,2016-02-05,12.18,12.32,11.27,12.18,12.18,7014
50,2016-02-08,11.97,12.6,11.2,12.25,12.25,2643
51,2016-02-09,11.97,12.74,11.97,12.11,12.11,3743
52,2016-02-10,12.25,12.39,12.04,12.39,12.39,3543
53,2016-02-11,12.46,12.46,12.39,12.46,12.46,2086
54,2016-02-12,12.39,12.74,12.25,12.6,12.6,8100
55,2016-02-16,12.46,12.88,12.32,12.6,12.6,6900
56,2016-02-17,12.6,12.6,12.32,12.6,12.6,4014
57,2016-02-18,12.53,12.88,12.32,12.88,12.88,2100
58,2016-02-19,12.53,12.88,12.53,12.53,12.53,2257
59,2016-02-22,12.6,13.02,12.6,12.95,12.95,2871
60,2016-02-23,12.81,13.09,12.6,12.6,12.6,1643
61,2016-02-24,12.74,12.95,12.74,12.88,12.88,1557
62,2016-02-25,12.81,13.16,12.74,13.02,13.02,2471
63,2016-02-26,12.88,13.23,12.81,13.16,13.16,1029
64,2016-02-29,13.09,13.23,12.88,12.88,12.88,41057
65,2016-03-01,13.16,14.28,12.95,14.07,14.07,20929
66,2016-03-02,13.58,14.98,13.58,14.07,14.07,12800
67,2016-03-03,14.14,14.7,14.0,14.42,14.42,10029
68,2016-03-04,14.7,14.7,13.37,13.93,13.93,23300
69,2016-03-07,13.44,14.28,13.44,14.07,14.07,14057
70,2016-03-08,13.37,14.28,13.3,13.93,13.93,14914
71,2016-03-09,14.0,14.28,13.86,14.0,14.0,7171
72,2016-03-10,13.79,14.35,13.79,14.07,14.07,4557
73,2016-03-11,13.86,14.63,13.86,14.14,14.14,4643
74,2016-03-14,13.86,14.7,13.86,14.07,14.07,4243
75,2016-03-15,14.07,14.14,13.79,13.86,13.86,4514
76,2016-03-16,13.93,14.63,13.93,14.42,14.42,12114
77,2016-03-17,14.21,14.63,14.07,14.07,14.07,11400
78,2016-03-18,14.0,14.63,14.0,14.63,14.63,13443
79,2016-03-21,14.56,16.1,14.49,15.33,15.33,25214
80,2016-03-22,15.33,15.68,14.84,15.05,15.05,7071
81,2016-03-23,15.05,15.33,14.84,14.91,14.91,8200
82,2016-03-24,14.7,14.98,14.07,14.35,14.35,13971
83,2016-03-28,14.28,14.77,14.0,14.63,14.63,6957
84,2016-03-29,14.7,15.68,14.0,15.05,15.05,23329
85,2016-03-30,15.12,15.4,15.05,15.12,15.12,5971
86,2016-03-31,15.19,16.799999,15.05,15.61,15.61,52614
87,2016-04-01,15.68,16.379998999999998,15.4,15.47,15.47,12171
88,2016-04-04,15.4,16.030001000000002,15.12,15.19,15.19,15100
89,2016-04-05,15.4,15.4,14.84,14.91,14.91,7257
90,2016-04-06,14.98,15.61,14.91,14.98,14.98,12057
91,2016-04-07,15.05,15.47,14.84,15.05,15.05,5229
92,2016-04-08,15.12,15.54,14.91,15.12,15.12,10243
93,2016-04-11,15.12,15.47,14.84,14.91,14.91,6186
94,2016-04-12,14.91,15.12,14.56,14.7,14.7,24200
95,2016-04-13,16.450001,16.450001,14.98,15.75,15.75,57600
96,2016-04-14,16.24,16.52,15.75,16.030001000000002,16.030001000000002,19757
97,2016-04-15,16.17,16.799999,15.82,16.73,16.73,18143
98,2016-04-18,16.799999,16.799999,15.82,16.17,16.17,21843
99,2016-04-19,16.17,16.59,15.96,16.1,16.1,4643
100,2016-04-20,16.309998999999998,16.52,15.61,15.61,15.61,12243
101,2016-04-21,15.61,16.799999,15.47,16.309998999999998,16.309998999999998,143900
102,2016-04-22,16.450001,17.5,16.379998999999998,17.15,17.15,35929
103,2016-04-25,17.219998999999998,18.41,17.219998999999998,17.85,17.85,41714
104,2016-04-26,17.99,18.200001,17.290001,17.780001000000002,17.780001000000002,14529
105,2016-04-27,18.059998999999998,18.34,17.43,17.780001000000002,17.780001000000002,26514
106,2016-04-28,17.5,17.85,17.360001,17.43,17.43,13686
107,2016-04-29,17.43,17.780001000000002,16.450001,16.940001000000002,16.940001000000002,11029
108,2016-05-02,17.15,17.43,16.870001000000002,17.15,17.15,8700
109,2016-05-03,17.15,17.5,16.870001000000002,17.360001,17.360001,4900
110,2016-05-04,17.08,17.360001,16.24,16.24,16.24,12043
111,2016-05-05,16.52,16.799999,16.030001000000002,16.52,16.52,40986
112,2016-05-06,16.309998999999998,16.940001000000002,16.1,16.799999,16.799999,7029
113,2016-05-09,16.799999,17.43,16.379998999999998,17.01,17.01,6600
114,2016-05-10,17.01,17.360001,16.52,16.940001000000002,16.940001000000002,5514
115,2016-05-11,16.799999,17.5,16.799999,17.15,17.15,4514
116,2016-05-12,17.290001,17.360001,16.450001,16.66,16.66,6286
117,2016-05-13,16.52,17.08,16.450001,16.73,16.73,3657
118,2016-05-16,16.66,17.219998999999998,16.450001,17.01,17.01,5771
119,2016-05-17,16.73,17.08,16.59,16.73,16.73,2229
120,2016-05-18,16.52,16.59,16.1,16.379998999999998,16.379998999999998,6743
121,2016-05-19,16.379998999999998,16.66,15.19,15.68,15.68,26757
122,2016-05-20,15.54,16.1,14.7,15.61,15.61,14971
123,2016-05-23,15.61,16.24,15.61,15.96,15.96,6143
124,2016-05-24,16.1,16.309998999999998,15.96,16.1,16.1,3586
125,2016-05-25,16.030001000000002,16.379998999999998,15.54,16.030001000000002,16.030001000000002,6186
126,2016-05-26,16.17,16.379998999999998,15.89,16.1,16.1,6543
127,2016-05-27,16.1,16.450001,15.89,16.24,16.24,3900
128,2016-05-31,16.450001,16.450001,16.1,16.309998999999998,16.309998999999998,4371
129,2016-06-01,16.450001,16.450001,16.1,16.24,16.24,6043
130,2016-06-02,16.24,16.450001,16.17,16.24,16.24,23400
131,2016-06-03,16.24,16.309998999999998,16.1,16.24,16.24,4514
132,2016-06-06,16.030001000000002,16.24,15.26,15.96,15.96,8300
133,2016-06-07,15.82,16.17,15.61,15.82,15.82,10557
134,2016-06-08,15.89,15.89,15.68,15.68,15.68,8529
135,2016-06-09,15.61,15.82,15.05,15.47,15.47,24957
136,2016-06-10,15.26,15.54,15.19,15.33,15.33,14786
137,2016-06-13,15.26,15.4,14.56,14.91,14.91,5414
138,2016-06-14,14.98,15.05,14.42,14.63,14.63,10014
139,2016-06-15,14.56,14.7,14.56,14.56,14.56,7914
140,2016-06-16,14.63,14.91,14.35,14.63,14.63,15014
141,2016-06-17,14.56,14.7,14.07,14.21,14.21,14014
142,2016-06-20,14.42,14.91,14.42,14.56,14.56,4100
143,2016-06-21,14.49,14.7,14.28,14.49,14.49,2329
144,2016-06-22,14.21,14.63,14.07,14.35,14.35,4886
145,2016-06-23,14.63,14.7,14.28,14.49,14.49,4229
146,2016-06-24,14.0,14.42,13.65,14.21,14.21,5629
147,2016-06-27,14.14,14.21,13.79,13.93,13.93,9057
148,2016-06-28,13.86,14.49,13.86,14.42,14.42,2386
149,2016-06-29,14.42,14.7,14.42,14.63,14.63,4643
150,2016-06-30,14.84,15.75,14.63,15.33,15.33,7371
151,2016-07-01,16.450001,16.73,15.05,15.19,15.19,52371
152,2016-07-05,14.98,15.82,14.98,15.75,15.75,7143
153,2016-07-06,15.82,15.96,14.77,15.61,15.61,13900
154,2016-07-07,15.47,15.75,15.33,15.47,15.47,1929
155,2016-07-08,15.33,15.75,15.33,15.68,15.68,2343
156,2016-07-11,15.75,15.82,15.68,15.75,15.75,17957
157,2016-07-12,15.75,15.96,14.98,14.98,14.98,20600
158,2016-07-13,15.82,15.82,14.84,15.4,15.4,33171
159,2016-07-14,15.61,15.75,14.7,15.26,15.26,32329
160,2016-07-15,15.4,15.89,14.56,15.61,15.61,38100
161,2016-07-18,16.17,16.17,15.54,15.68,15.68,14429
162,2016-07-19,15.89,16.030001000000002,15.05,15.54,15.54,8814
163,2016-07-20,15.82,17.15,15.61,16.59,16.59,34386
164,2016-07-21,16.799999,18.059998999999998,16.799999,17.85,17.85,38657
165,2016-07-22,18.200001,19.040001,17.780001000000002,18.48,18.48,45829
166,2016-07-25,18.48,19.389999,18.48,18.9,18.9,32029
167,2016-07-26,19.25,19.25,18.620001000000002,18.76,18.76,16900
168,2016-07-27,18.76,19.040001,18.41,18.969998999999998,18.969998999999998,6986
169,2016-07-28,19.040001,19.25,18.48,18.969998999999998,18.969998999999998,11371
170,2016-07-29,19.110001,19.110001,18.620001000000002,18.9,18.9,7814
