,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-11-24,2.17,2.17,2.06,2.12,2.12,25700
1,2010-11-26,2.21,2.21,2.19,2.2,2.2,2600
2,2010-11-29,2.13,2.16,2.13,2.16,2.16,600
3,2010-12-01,2.05,2.05,2.0,2.02,2.02,4100
4,2010-12-02,2.02,2.05,2.02,2.03,2.03,2900
5,2010-12-03,2.03,2.08,2.03,2.07,2.07,6500
6,2010-12-06,2.09,2.16,2.08,2.16,2.16,900
7,2010-12-07,2.12,2.16,2.08,2.08,2.08,1600
8,2010-12-08,2.04,2.04,2.02,2.02,2.02,4200
9,2010-12-10,2.04,2.11,2.04,2.11,2.11,300
10,2010-12-13,2.03,2.1,2.0,2.1,2.1,2400
11,2010-12-14,2.0,2.0,1.97,1.97,1.97,5000
12,2010-12-15,2.03,2.06,2.03,2.05,2.05,400
13,2010-12-16,2.05,2.05,1.91,1.91,1.91,2600
14,2010-12-17,2.0,2.01,1.89,1.96,1.96,4300
15,2010-12-20,1.9,1.96,1.89,1.95,1.95,8400
16,2010-12-21,1.9,1.9,1.83,1.83,1.83,8100
17,2010-12-22,1.77,1.9,1.69,1.87,1.87,5800
18,2010-12-27,1.77,1.81,1.77,1.8,1.8,2000
19,2010-12-28,1.8,1.85,1.75,1.76,1.76,5200
20,2010-12-29,1.76,1.76,1.51,1.51,1.51,20500
21,2010-12-30,1.55,1.98,1.55,1.92,1.92,32500
22,2010-12-31,1.99,2.2,1.92,2.0,2.0,16800
23,2011-01-03,2.2,2.2,1.9,2.12,2.12,2600
24,2011-01-04,2.19,2.19,1.93,1.99,1.99,3800
25,2011-01-05,1.9,2.05,1.89,2.03,2.03,1500
26,2011-01-06,1.92,1.96,1.92,1.95,1.95,1400
27,2011-01-10,1.96,1.96,1.88,1.88,1.88,500
28,2011-01-11,2.11,2.11,2.04,2.04,2.04,700
29,2011-01-12,2.25,2.25,1.96,2.0,2.0,22600
30,2011-01-13,2.09,2.09,1.81,1.84,1.84,8700
31,2011-01-14,1.83,1.85,1.73,1.77,1.77,6300
32,2011-01-18,1.75,1.86,1.75,1.8,1.8,4300
33,2011-01-19,1.75,1.75,1.7,1.71,1.71,6300
34,2011-01-20,1.65,1.78,1.65,1.7,1.7,1500
35,2011-01-21,1.65,1.81,1.65,1.73,1.73,5500
36,2011-01-24,1.67,1.78,1.67,1.78,1.78,2100
37,2011-01-25,1.71,1.78,1.71,1.75,1.75,4500
38,2011-01-26,1.67,1.8,1.65,1.65,1.65,3200
39,2011-01-27,1.64,1.81,1.64,1.79,1.79,13700
40,2011-02-02,1.64,1.64,1.62,1.62,1.62,500
41,2011-02-03,1.65,1.78,1.65,1.78,1.78,900
42,2011-02-04,1.68,1.68,1.65,1.65,1.65,1700
43,2011-02-07,1.68,2.11,1.68,2.0,2.0,22700
44,2011-02-08,2.1,2.1,1.97,2.0,2.0,12200
45,2011-02-09,1.96,1.96,1.81,1.85,1.85,8800
46,2011-02-10,1.85,1.85,1.75,1.75,1.75,3500
47,2011-02-11,1.91,1.99,1.9,1.9,1.9,4700
48,2011-02-14,1.9,1.94,1.78,1.85,1.85,5300
49,2011-02-15,1.94,1.94,1.93,1.93,1.93,300
50,2011-02-16,1.91,1.93,1.91,1.93,1.93,1000
51,2011-02-17,1.91,1.95,1.91,1.95,1.95,2600
52,2011-02-18,1.85,1.9,1.79,1.87,1.87,40700
53,2011-02-22,1.8,1.91,1.8,1.82,1.82,5300
54,2011-02-23,1.82,1.89,1.77,1.77,1.77,7800
55,2011-02-24,1.76,1.88,1.75,1.76,1.76,2900
56,2011-02-25,1.88,1.88,1.75,1.76,1.76,8900
57,2011-02-28,1.87,1.98,1.86,1.87,1.87,7300
58,2011-03-01,1.93,2.0,1.93,1.98,1.98,4900
59,2011-03-02,1.98,1.98,1.97,1.98,1.98,500
60,2011-03-03,1.97,1.97,1.94,1.97,1.97,1600
61,2011-03-04,1.96,1.97,1.96,1.97,1.97,1300
62,2011-03-07,1.79,1.95,1.78,1.78,1.78,1100
63,2011-03-08,1.91,1.97,1.81,1.81,1.81,900
64,2011-03-09,1.84,1.98,1.8,1.8,1.8,10200
65,2011-03-10,1.88,1.9,1.77,1.77,1.77,6500
66,2011-03-11,1.82,1.97,1.79,1.9,1.9,71400
67,2011-03-14,1.98,2.0,1.95,2.0,2.0,8900
68,2011-03-15,1.94,2.0,1.82,1.82,1.82,4200
69,2011-03-17,2.01,2.01,1.88,1.88,1.88,3100
70,2011-03-18,1.89,2.01,1.8,2.01,2.01,2700
71,2011-03-21,1.99,1.99,1.85,1.95,1.95,3200
72,2011-03-22,1.86,1.99,1.85,1.99,1.99,1600
73,2011-03-23,1.99,1.99,1.89,1.92,1.92,600
74,2011-03-24,1.99,2.02,1.94,2.02,2.02,5200
75,2011-03-25,2.03,2.05,2.0,2.0,2.0,11200
76,2011-03-28,2.07,2.07,2.01,2.01,2.01,2100
77,2011-03-30,1.99,2.05,1.99,2.04,2.04,1400
78,2011-03-31,2.04,2.05,2.04,2.05,2.05,900
79,2011-04-01,2.07,2.07,2.01,2.02,2.02,17600
80,2011-04-04,2.02,2.05,1.98,2.02,2.02,1900
81,2011-04-05,1.98,2.01,1.98,1.98,1.98,3500
82,2011-04-06,2.0,2.03,1.85,1.85,1.85,9000
83,2011-04-07,1.89,2.0,1.82,1.91,1.91,4900
84,2011-04-08,1.87,2.04,1.86,2.04,2.04,14400
85,2011-04-11,2.02,2.08,1.86,1.9,1.9,4700
86,2011-04-13,2.04,2.04,1.98,2.01,2.01,2300
87,2011-04-14,2.0,2.02,1.85,1.9,1.9,5000
88,2011-04-18,2.05,2.05,1.98,2.03,2.03,900
89,2011-04-19,2.04,2.19,2.03,2.07,2.07,4500
90,2011-04-20,2.07,2.07,1.95,1.95,1.95,2400
91,2011-04-21,1.9,2.07,1.9,2.07,2.07,6800
92,2011-04-25,2.06,2.08,1.99,1.99,1.99,2900
93,2011-04-26,2.07,2.07,1.95,2.07,2.07,6400
94,2011-04-27,1.95,2.1,1.95,2.1,2.1,12000
95,2011-04-28,2.08,2.12,2.0,2.12,2.12,7900
96,2011-04-29,2.14,2.15,2.08,2.14,2.14,6200
97,2011-05-02,2.02,2.4,2.02,2.2,2.2,53000
98,2011-05-03,2.3,2.59,2.3,2.57,2.57,35000
99,2011-05-04,2.76,2.76,2.63,2.68,2.68,24300
100,2011-05-05,2.69,2.82,2.41,2.68,2.68,28300
101,2011-05-06,2.66,2.99,2.5,2.9,2.9,22000
102,2011-05-09,2.93,3.0,2.89,2.89,2.89,11000
103,2011-05-10,2.95,2.95,2.79,2.79,2.79,8900
104,2011-05-11,2.78,2.85,2.74,2.83,2.83,7100
105,2011-05-12,2.85,2.9,2.84,2.88,2.88,10600
106,2011-05-13,2.87,2.88,2.8,2.85,2.85,2600
107,2011-05-16,2.86,2.86,2.74,2.74,2.74,2400
108,2011-05-17,2.79,2.79,2.62,2.75,2.75,56000
109,2011-05-18,2.74,2.9,2.74,2.89,2.89,11200
110,2011-05-19,2.91,2.96,2.79,2.95,2.95,9700
111,2011-05-20,2.91,2.93,2.85,2.9,2.9,10800
112,2011-05-23,2.93,3.0,2.93,2.97,2.97,29400
113,2011-05-24,2.98,3.19,2.98,3.01,3.01,15900
114,2011-05-25,3.01,3.1,2.93,3.05,3.05,7700
115,2011-05-26,3.01,3.1,2.95,3.09,3.09,16600
116,2011-05-27,3.05,3.1,2.86,3.05,3.05,5600
117,2011-05-31,3.05,3.05,3.0,3.0,3.0,5500
118,2011-06-01,2.93,3.0,2.8,2.97,2.97,3400
119,2011-06-02,2.91,2.97,2.84,2.84,2.84,4700
120,2011-06-03,2.82,2.93,2.82,2.86,2.86,2700
121,2011-06-06,2.85,2.93,2.81,2.86,2.86,5100
122,2011-06-07,2.85,2.9,2.81,2.9,2.9,7600
123,2011-06-08,2.92,2.92,2.85,2.88,2.88,3100
124,2011-06-09,2.86,2.9,2.76,2.88,2.88,2500
125,2011-06-10,2.88,2.91,2.75,2.89,2.89,20400
126,2011-06-13,2.79,2.86,2.79,2.86,2.86,3300
127,2011-06-14,2.86,2.86,2.85,2.85,2.85,2900
128,2011-06-15,2.86,2.89,2.75,2.84,2.84,6000
129,2011-06-16,3.09,3.09,2.75,3.06,3.06,1900
130,2011-06-17,3.0,3.02,2.8,2.8,2.8,2700
131,2011-06-20,2.77,2.8,2.45,2.45,2.45,18100
132,2011-06-21,2.51,2.67,2.51,2.52,2.52,10100
133,2011-06-22,2.56,2.6,2.56,2.6,2.6,300
134,2011-06-23,2.64,2.69,2.52,2.53,2.53,2700
135,2011-06-24,2.62,2.62,2.52,2.52,2.52,1000
136,2011-06-27,2.52,2.59,2.51,2.51,2.51,1300
137,2011-06-28,2.59,2.59,2.16,2.21,2.21,42400
138,2011-06-29,2.27,2.39,2.18,2.21,2.21,11700
139,2011-06-30,2.23,2.23,2.1,2.13,2.13,11000
140,2011-07-01,2.15,2.4,2.15,2.25,2.25,1300
141,2011-07-05,2.25,2.27,2.18,2.25,2.25,5500
142,2011-07-06,2.25,3.1,2.25,2.43,2.43,10400
143,2011-07-07,2.39,2.39,2.28,2.36,2.36,3200
144,2011-07-08,2.33,2.33,2.3,2.32,2.32,2900
145,2011-07-11,2.32,2.38,2.29,2.36,2.36,6500
146,2011-07-12,2.33,2.38,2.29,2.3,2.3,4000
147,2011-07-13,2.3,2.46,2.28,2.39,2.39,2500
148,2011-07-14,2.31,2.36,2.3,2.36,2.36,1300
