,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-11-24,1.39,1.4,1.38,1.38,1.306186,20929800
1,2010-11-26,1.38,1.4,1.38,1.4,1.325116,7105800
2,2010-11-29,1.4,1.4,1.37,1.4,1.325116,27898200
3,2010-11-30,1.38,1.41,1.37,1.37,1.296721,49850600
4,2010-12-01,1.39,1.4,1.38,1.39,1.3156510000000001,18190000
5,2010-12-02,1.4,1.4,1.37,1.39,1.3156510000000001,19709000
6,2010-12-03,1.38,1.38,1.37,1.37,1.296721,16342700
7,2010-12-06,1.38,1.39,1.37,1.38,1.306186,19131300
8,2010-12-07,1.39,1.39,1.36,1.36,1.287256,28196300
9,2010-12-08,1.36,1.37,1.31,1.32,1.249395,75396500
10,2010-12-09,1.41,1.44,1.36,1.39,1.3156510000000001,188146600
11,2010-12-10,1.4,1.4,1.37,1.4,1.325116,37235700
12,2010-12-13,1.4,1.4,1.38,1.38,1.306186,29878000
13,2010-12-14,1.39,1.39,1.38,1.39,1.3156510000000001,18973500
14,2010-12-15,1.38,1.4,1.38,1.39,1.3156510000000001,32153500
15,2010-12-16,1.39,1.4,1.35,1.39,1.3156510000000001,27753300
16,2010-12-17,1.37,1.4,1.37,1.4,1.325116,36495900
17,2010-12-20,1.4,1.41,1.39,1.41,1.334581,18065600
18,2010-12-21,1.41,1.49,1.4,1.48,1.400837,57364400
19,2010-12-22,1.51,1.6,1.49,1.6,1.514419,113493600
20,2010-12-23,1.62,1.69,1.58,1.61,1.523884,105711200
21,2010-12-27,1.6,1.6,1.55,1.55,1.467093,36435300
22,2010-12-28,1.56,1.63,1.52,1.63,1.542814,51987500
23,2010-12-29,1.65,1.69,1.64,1.65,1.561744,63681500
24,2010-12-30,1.64,1.65,1.61,1.63,1.542814,27942000
25,2010-12-31,1.63,1.65,1.62,1.63,1.542814,27573200
26,2011-01-03,1.67,1.72,1.66,1.69,1.599604,84297100
27,2011-01-04,1.74,1.74,1.65,1.67,1.580674,79608600
28,2011-01-05,1.67,1.68,1.65,1.65,1.561744,48480000
29,2011-01-06,1.67,1.67,1.62,1.64,1.5522790000000002,39762000
30,2011-01-07,1.64,1.64,1.59,1.61,1.523884,47942800
31,2011-01-10,1.59,1.6,1.56,1.58,1.495488,32485600
32,2011-01-11,1.6,1.61,1.56,1.57,1.4860229999999999,50374500
33,2011-01-12,1.59,1.59,1.54,1.56,1.476558,40909400
34,2011-01-13,1.55,1.56,1.53,1.53,1.4481629999999999,42327600
35,2011-01-14,1.53,1.58,1.53,1.56,1.476558,50229700
36,2011-01-18,1.56,1.59,1.55,1.57,1.4860229999999999,31483100
37,2011-01-19,1.57,1.57,1.53,1.54,1.4576280000000001,30434200
38,2011-01-20,1.52,1.53,1.49,1.52,1.438697,33579100
39,2011-01-21,1.53,1.55,1.52,1.55,1.467093,27019500
40,2011-01-24,1.57,1.61,1.54,1.58,1.495488,51143100
41,2011-01-25,1.58,1.59,1.56,1.58,1.495488,33456200
42,2011-01-26,1.59,1.61,1.58,1.6,1.514419,25738300
43,2011-01-27,1.62,1.62,1.6,1.62,1.533349,25656900
44,2011-01-28,1.61,1.65,1.61,1.62,1.533349,44611000
45,2011-01-31,1.61,1.68,1.58,1.62,1.533349,79791400
46,2011-02-01,1.62,1.65,1.61,1.63,1.542814,48019200
47,2011-02-02,1.66,1.73,1.65,1.72,1.628,143861900
48,2011-02-03,1.76,1.8,1.75,1.77,1.6753259999999999,95136800
49,2011-02-04,1.78,1.79,1.72,1.75,1.656395,67221600
50,2011-02-07,1.77,1.8,1.76,1.79,1.6942560000000002,52121600
51,2011-02-08,1.8,1.81,1.78,1.78,1.684791,30672400
52,2011-02-09,1.78,1.79,1.75,1.77,1.6753259999999999,34351000
53,2011-02-10,1.75,1.78,1.74,1.77,1.6753259999999999,21783600
54,2011-02-11,1.77,1.85,1.76,1.84,1.741582,59241300
55,2011-02-14,1.87,1.88,1.8,1.83,1.732116,90462800
56,2011-02-15,1.72,1.76,1.65,1.69,1.599604,164414500
57,2011-02-16,1.73,1.85,1.72,1.81,1.713186,165021800
58,2011-02-17,1.83,1.84,1.8,1.81,1.713186,46289300
59,2011-02-18,1.79,1.81,1.78,1.81,1.713186,34868900
60,2011-02-22,1.78,1.79,1.71,1.72,1.628,67867200
61,2011-02-23,1.73,1.74,1.63,1.68,1.5901399999999999,78247400
62,2011-02-24,1.68,1.72,1.67,1.71,1.618535,36643900
63,2011-02-25,1.72,1.78,1.71,1.77,1.6753259999999999,56755000
64,2011-02-28,1.79,1.81,1.77,1.81,1.713186,61605800
65,2011-03-01,1.83,1.83,1.74,1.75,1.656395,49655000
66,2011-03-02,1.73,1.8,1.73,1.78,1.684791,37968400
67,2011-03-03,1.8,1.83,1.8,1.82,1.722651,44920900
68,2011-03-04,1.81,1.83,1.78,1.81,1.713186,41310700
69,2011-03-07,1.8,1.83,1.71,1.74,1.64693,97138200
70,2011-03-08,1.76,1.76,1.69,1.76,1.66586,72170800
71,2011-03-09,1.73,1.81,1.73,1.8,1.7037209999999998,60530300
72,2011-03-10,1.77,1.79,1.75,1.77,1.6753259999999999,34919700
73,2011-03-11,1.75,1.79,1.74,1.79,1.6942560000000002,23416600
74,2011-03-14,1.77,1.79,1.75,1.77,1.6753259999999999,30393300
75,2011-03-15,1.72,1.77,1.7,1.75,1.656395,66536400
76,2011-03-16,1.75,1.77,1.7,1.73,1.637465,66856000
77,2011-03-17,1.74,1.76,1.72,1.73,1.637465,29551800
78,2011-03-18,1.75,1.76,1.67,1.71,1.618535,72227000
79,2011-03-21,1.71,1.73,1.7,1.72,1.628,34168900
80,2011-03-22,1.72,1.72,1.7,1.71,1.618535,21208200
81,2011-03-23,1.66,1.68,1.63,1.67,1.580674,66626400
82,2011-03-24,1.65,1.71,1.64,1.7,1.60907,45094300
83,2011-03-25,1.7,1.72,1.69,1.72,1.628,26930200
84,2011-03-28,1.71,1.73,1.68,1.72,1.628,38780900
85,2011-03-29,1.71,1.73,1.71,1.73,1.637465,17594900
86,2011-03-30,1.72,1.73,1.71,1.72,1.628,28579000
87,2011-03-31,1.69,1.7,1.62,1.65,1.561744,100067500
88,2011-04-01,1.67,1.68,1.63,1.65,1.561744,42543100
89,2011-04-04,1.64,1.7,1.62,1.7,1.60907,33867500
90,2011-04-05,1.69,1.78,1.68,1.78,1.684791,77000500
91,2011-04-06,1.79,1.86,1.79,1.84,1.741582,100914300
92,2011-04-07,1.83,1.84,1.75,1.76,1.66586,70805600
93,2011-04-08,1.78,1.79,1.75,1.76,1.66586,29720200
94,2011-04-11,1.76,1.8,1.76,1.78,1.684791,51618700
95,2011-04-12,1.77,1.81,1.75,1.81,1.713186,32151100
96,2011-04-13,1.83,1.85,1.8,1.84,1.741582,44933300
97,2011-04-14,1.81,1.83,1.79,1.81,1.713186,30764900
98,2011-04-15,1.81,1.84,1.81,1.84,1.741582,27075400
99,2011-04-18,1.8,1.83,1.79,1.8,1.7037209999999998,45142200
100,2011-04-19,1.81,1.84,1.8,1.83,1.732116,24044800
101,2011-04-20,1.85,1.87,1.84,1.87,1.7699759999999998,50019300
102,2011-04-21,1.88,1.93,1.86,1.93,1.8267669999999998,69001900
103,2011-04-25,1.94,1.96,1.91,1.96,1.8551630000000001,53316700
104,2011-04-26,1.97,2.0,1.96,1.97,1.864628,62900000
105,2011-04-27,1.94,1.98,1.93,1.98,1.874093,64533200
106,2011-04-28,1.97,2.0,1.96,1.98,1.874093,56900000
107,2011-04-29,1.97,2.0,1.96,1.99,1.883558,47514100
108,2011-05-02,2.0,2.03,1.9,1.91,1.807837,147952300
109,2011-05-03,1.96,2.09,1.96,2.07,1.959279,243900000
110,2011-05-04,2.05,2.14,2.05,2.13,2.01607,87884700
111,2011-05-05,2.13,2.17,2.09,2.12,2.006605,100000000
112,2011-05-06,2.15,2.23,2.15,2.22,2.1012560000000002,166469000
113,2011-05-09,2.24,2.25,2.15,2.19,2.07286,95402300
114,2011-05-10,2.19,2.36,2.16,2.35,2.2243020000000002,114800400
