,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-12-22,15.0,15.0,7.5,7.5,7.5,128
1,2011-01-14,13.75,13.75,7.5,7.5,7.5,496
2,2011-01-25,7.5,7.5,5.0,5.0,5.0,700
3,2011-01-27,7.5,7.5,7.25,7.5,7.5,580
4,2011-07-08,4.5,7.0,4.5,5.0,5.0,364
5,2011-08-15,3.75,5.75,3.75,5.75,5.75,28
6,2011-11-14,3.25,3.25,2.75,2.75,2.75,560
7,2011-11-16,2.75,4.0,2.5,2.5,2.5,4200
8,2012-02-03,8.75,9.0,8.75,9.0,9.0,580
9,2012-03-14,10.25,11.25,10.25,10.25,10.25,1692
10,2012-03-23,11.75,12.5,11.75,11.75,11.75,816
11,2012-03-26,12.5,12.75,11.75,12.75,12.75,2364
12,2012-03-27,11.75,14.75,11.75,14.75,14.75,232
13,2012-04-03,18.75,19.25,18.75,18.75,18.75,600
14,2012-04-09,18.75,18.75,12.5,12.5,12.5,620
15,2012-04-10,16.25,17.0,13.75,13.75,13.75,448
16,2012-04-16,12.5,15.0,12.5,15.0,15.0,400
17,2012-04-27,11.75,11.75,11.25,11.25,11.25,400
18,2012-05-08,11.5,11.5,8.75,8.75,8.75,1152
19,2012-05-10,12.5,12.5,11.25,11.25,11.25,520
20,2012-05-15,6.5,7.5,6.5,7.5,7.5,420
21,2012-05-18,12.75,12.75,7.75,7.75,7.75,168
22,2012-05-24,7.5,7.5,5.25,5.25,5.25,3880
23,2012-05-25,5.75,5.75,4.0,4.0,4.0,3400
24,2012-05-29,5.75,5.75,3.0,5.75,5.75,6808
25,2012-05-30,5.75,5.75,3.5,5.75,5.75,1976
26,2012-06-08,12.5,12.5,11.5,11.5,11.5,240
27,2012-06-26,6.75,7.5,6.25,7.5,7.5,4600
28,2012-07-05,5.0,6.75,5.0,6.75,6.75,3680
29,2012-07-06,6.75,6.75,5.25,5.25,5.25,284
30,2012-07-09,5.25,7.75,5.25,7.75,7.75,8
