,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-11-24,8.24,8.33,8.19,8.25,8.25,158000
1,2010-11-26,8.22,8.36,8.19,8.19,8.19,29500
2,2010-11-29,8.14,8.23,8.0,8.19,8.19,80600
3,2010-11-30,8.06,8.19,7.99,8.06,8.06,151300
4,2010-12-01,8.15,8.35,8.14,8.25,8.25,179800
5,2010-12-02,8.25,8.3,8.18,8.21,8.21,70300
6,2010-12-03,8.19,8.22,8.1,8.18,8.18,76100
7,2010-12-06,8.18,8.23,8.1,8.15,8.15,92700
8,2010-12-07,8.25,8.25,8.0,8.1,8.1,155200
9,2010-12-08,8.1,8.15,8.03,8.03,8.03,138300
10,2010-12-09,8.13,8.22,8.09,8.11,8.11,102800
11,2010-12-10,8.15,8.3,8.06,8.29,8.29,244300
12,2010-12-13,8.35,8.4,8.22,8.27,8.27,118000
13,2010-12-14,8.33,8.37,8.18,8.23,8.23,93600
14,2010-12-15,8.2,8.48,8.19,8.38,8.38,95400
15,2010-12-16,8.38,8.75,8.38,8.75,8.75,168500
16,2010-12-17,8.75,8.98,8.63,8.87,8.87,272900
17,2010-12-20,8.87,9.02,8.7,9.0,9.0,222400
18,2010-12-21,9.07,10.17,9.05,10.17,10.17,616900
19,2010-12-22,10.18,10.32,9.49,9.51,9.51,417400
20,2010-12-23,9.54,9.62,9.26,9.57,9.57,243700
21,2010-12-27,9.56,9.77,9.35,9.5,9.5,135500
22,2010-12-28,9.53,9.67,9.35,9.41,9.41,129100
23,2010-12-29,9.33,9.54,9.32,9.35,9.35,112000
24,2010-12-30,9.31,9.47,9.26,9.38,9.38,97200
25,2010-12-31,9.39,9.52,9.29,9.46,9.46,153800
26,2011-01-03,9.57,10.17,9.42,9.98,9.98,253600
27,2011-01-04,9.99,9.99,9.41,9.41,9.41,145000
28,2011-01-05,9.39,9.6,9.3,9.55,9.55,151600
29,2011-01-06,9.53,9.6,9.33,9.4,9.4,70200
30,2011-01-07,9.4,9.55,9.22,9.47,9.47,77100
31,2011-01-10,9.42,9.52,9.26,9.28,9.28,109900
32,2011-01-11,9.36,9.45,9.09,9.13,9.13,124500
33,2011-01-12,9.2,9.23,9.06,9.1,9.1,131700
34,2011-01-13,9.11,9.16,9.06,9.06,9.06,132000
35,2011-01-14,9.03,9.14,9.02,9.1,9.1,108500
36,2011-01-18,9.01,9.2,8.51,8.62,8.62,274400
37,2011-01-19,8.61,8.75,8.31,8.32,8.32,163900
38,2011-01-20,8.31,8.57,8.2,8.25,8.25,136900
39,2011-01-21,8.32,8.32,8.05,8.05,8.05,268300
40,2011-01-24,8.06,8.12,7.94,8.04,8.04,123100
41,2011-01-25,8.0,8.02,7.65,7.75,7.75,398100
42,2011-01-26,7.81,8.25,7.74,8.18,8.18,294500
43,2011-01-27,8.15,8.22,8.0,8.08,8.08,123400
44,2011-01-28,8.08,8.25,7.98,8.01,8.01,153300
45,2011-01-31,8.01,8.08,7.89,8.01,8.01,106600
46,2011-02-01,8.04,8.25,8.0,8.07,8.07,147900
47,2011-02-02,8.02,8.27,8.02,8.26,8.26,66100
48,2011-02-03,8.21,8.33,8.17,8.24,8.24,71000
