,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-11-24,10.72,11.19,10.47,11.18,10.886045,31100
1,2015-11-25,11.19,11.35,11.0,11.23,10.93473,22500
2,2015-11-27,11.18,11.2,10.93,11.04,10.768907,24500
3,2015-11-30,11.08,11.48,11.0,11.26,10.983503,50400
4,2015-12-01,11.23,11.58,11.12,11.33,11.051785,81700
5,2015-12-02,11.29,11.49,11.01,11.32,11.042029,46100
6,2015-12-03,11.4,11.5,10.92,11.22,10.944486,59400
7,2015-12-04,11.2,11.49,11.04,11.47,11.188344,44600
8,2015-12-07,11.34,11.41,10.61,10.7,10.437253,49700
9,2015-12-08,10.58,10.58,9.99,10.12,9.871495,63300
10,2015-12-09,10.12,10.74,10.04,10.28,10.027564,66900
11,2015-12-10,10.27,10.67,10.17,10.5,10.242166000000001,111200
12,2015-12-11,10.26,10.4,10.01,10.14,9.891005999999999,64800
13,2015-12-14,10.09,10.5,9.99,10.07,9.822722,77500
14,2015-12-15,10.17,10.32,9.08,9.24,9.013105,81700
15,2015-12-16,9.04,9.58,8.98,9.55,9.315491,165300
16,2015-12-17,9.48,9.69,9.26,9.65,9.413036,75100
17,2015-12-18,9.64,9.89,9.39,9.55,9.315491,270900
18,2015-12-21,9.51,10.44,9.38,10.43,10.173882,112500
19,2015-12-22,10.48,11.26,10.38,11.25,10.973747,53600
20,2015-12-23,11.33,11.77,11.16,11.44,11.159081,106300
21,2015-12-24,11.44,11.84,11.25,11.25,10.973747,34500
22,2015-12-28,11.1,11.22,10.62,10.72,10.456763,49800
23,2015-12-29,10.82,11.32,10.72,11.27,10.993258,42000
24,2015-12-30,11.24,11.56,11.14,11.41,11.129817,36000
25,2015-12-31,11.45,11.89,11.3,11.58,11.295645,72300
26,2016-01-04,11.21,11.83,10.72,11.73,11.44196,74600
27,2016-01-05,11.63,11.73,11.42,11.66,11.373679,44400
28,2016-01-06,11.35,11.97,11.35,11.66,11.373679,56600
29,2016-01-07,11.38,11.6,10.87,10.99,10.720134,60500
30,2016-01-08,11.0,11.24,10.56,10.63,10.368974,55100
31,2016-01-11,10.65,10.65,9.59,9.68,9.442300999999999,93300
32,2016-01-12,9.84,9.9,9.09,9.61,9.37402,116600
33,2016-01-13,9.76,10.04,9.34,9.44,9.208194,74500
34,2016-01-14,9.41,9.59,9.07,9.21,8.983842,61300
35,2016-01-15,9.01,9.27,8.86,9.27,9.042368,123100
36,2016-01-19,9.28,9.28,8.4,8.67,8.457098,90300
37,2016-01-20,8.49,8.82,7.98,8.73,8.515628,87700
38,2016-01-21,8.77,8.95,8.35,8.39,8.183976,80200
39,2016-01-22,8.63,8.75,8.42,8.53,8.320539,46700
40,2016-01-25,8.58,8.67,8.26,8.29,8.086432,52300
41,2016-01-26,8.41,8.59,8.07,8.56,8.349802,118200
42,2016-01-27,8.52,8.7,8.19,8.28,8.076678,51000
43,2016-01-28,8.42,8.48,8.23,8.44,8.232747999999999,44100
44,2016-01-29,8.4,9.46,8.4,9.34,9.11065,75500
45,2016-02-01,9.19,9.37,8.72,9.24,9.013105,39800
46,2016-02-02,9.06,9.29,8.43,9.07,8.847277,44900
47,2016-02-03,9.22,9.84,9.13,9.63,9.393529,89600
48,2016-02-04,9.69,11.1,9.69,10.7,10.437253,43800
49,2016-02-05,10.72,10.92,10.21,10.43,10.173882,48900
50,2016-02-08,10.36,10.39,9.8,10.14,9.891005999999999,29100
51,2016-02-09,10.0,10.18,9.51,9.85,9.608125999999999,26800
52,2016-02-10,9.89,10.21,9.57,9.59,9.354509,28400
53,2016-02-11,9.42,10.37,9.42,10.04,9.793460000000001,38900
54,2016-02-12,10.23,11.22,10.23,10.79,10.525043,52100
55,2016-02-16,10.83,11.14,10.63,11.01,10.739641,26200
56,2016-02-17,11.15,11.64,11.13,11.14,10.866451,36800
57,2016-02-18,11.17,11.46,10.64,10.92,10.651850999999999,39200
58,2016-02-19,10.83,11.3,10.76,11.07,10.798169999999999,44400
59,2016-02-22,11.25,11.84,10.87,10.88,10.612833,76300
60,2016-02-23,10.87,11.48,10.48,10.74,10.476272,177600
61,2016-02-24,10.74,11.05,10.14,10.7,10.437253,83500
62,2016-02-25,9.79,10.48,9.51,10.32,10.066585,86400
63,2016-02-26,10.48,10.97,10.42,10.83,10.584574,50200
64,2016-02-29,10.91,10.97,10.62,10.72,10.477066,81300
65,2016-03-01,10.84,11.39,10.65,11.37,11.112336,63900
66,2016-03-02,11.39,12.95,11.39,12.51,12.226503,59600
67,2016-03-03,12.47,13.75,12.47,13.25,12.949733,66800
68,2016-03-04,13.39,14.37,13.35,13.57,13.262482,115000
